output_byte,character_escaped,byte_hex,input_hex_high_position,input_hex_low_position
0,'t',74,320,961
1,'h',68,1602,2243
2,'e',65,0,641
3,' ',20,1282,1923
4,'l',6c,2564,321
5,'p',70,962,1603
6,' ',20,2244,1
7,'w',77,642,1283
8,'a',61,1924,2565
9,'s',73,322,963
10,' ',20,1604,2245
11,'r',72,2,643
12,'e',65,1284,1925
13,'l',6c,2566,323
14,'o',6f,964,1605
15,'c',63,2246,3
16,'k',6b,644,1285
17,'e',65,1926,2567
18,'d',64,324,965
19,'.',2e,1606,2247
20,' ',20,4,645
21,' ',20,1286,1927
22,'w',77,2568,325
23,'e',65,966,1607
24,' ',20,2248,5
25,'w',77,646,1287
26,'i',69,1928,2569
27,'l',6c,326,967
28,'l',6c,1608,2249
29,' ',20,6,647
30,'k',6b,1288,1929
31,'e',65,2570,327
32,'e',65,968,1609
33,'p',70,2250,7
34,' ',20,648,1289
35,'d',64,1930,2571
36,'o',6f,328,969
37,'i',69,1610,2251
38,'n',6e,8,649
39,'g',67,1290,1931
40,' ',20,2572,329
41,'t',74,970,1611
42,'h',68,2252,9
43,'i',69,650,1291
44,'s',73,1932,2573
45,' ',20,330,971
46,'u',75,1612,2253
47,'n',6e,10,651
48,'t',74,1292,1933
49,'i',69,2574,331
50,'l',6c,972,1613
51,' ',20,2254,11
52,'i',69,652,1293
53,'t',74,1934,2575
54,' ',20,332,973
55,'i',69,1614,2255
56,'s',73,12,653
57,' ',20,1294,1935
58,'c',63,2576,333
59,'l',6c,974,1615
60,'e',65,2256,13
61,'a',61,654,1295
62,'r',72,1936,2577
63,' ',20,334,975
64,'t',74,1616,2257
65,'h',68,14,655
66,'a',61,1296,1937
67,'t',74,2578,335
68,' ',20,976,1617
69,'i',69,2258,15
70,'t',74,656,1297
71,' ',20,1938,2579
72,'c',63,336,977
73,'a',61,1618,2259
74,'n',6e,16,657
75,' ',20,1298,1939
76,'f',66,2580,337
77,'i',69,978,1619
78,'n',6e,2260,17
79,'d',64,658,1299
80,' ',20,1940,2581
81,'i',69,338,979
82,'t',74,1620,2261
83,"""'""",27,18,659
84,'s',73,1300,1941
85,' ',20,2582,339
86,'f',66,980,1621
87,'o',6f,2262,19
88,'r',72,660,1301
89,'e',65,1942,2583
90,'v',76,340,981
91,'e',65,1622,2263
92,'r',72,20,661
93,' ',20,1302,1943
94,'h',68,2584,341
95,'o',6f,982,1623
96,'m',6d,2264,21
97,'e',65,662,1303
98,'.',2e,1944,2585
99,' ',20,342,983
100,' ',20,1624,2265
101,'w',77,22,663
102,'e',65,1304,1945
103,' ',20,2586,343
104,'h',68,984,1625
105,'a',61,2266,23
106,'v',76,664,1305
107,'e',65,1946,2587
108,' ',20,344,985
109,'n',6e,1626,2267
110,'o',6f,24,665
111,' ',20,1306,1947
112,'f',66,2588,345
113,'i',69,986,1627
114,'n',6e,2268,25
115,'a',61,666,1307
116,'n',6e,1948,2589
117,'c',63,346,987
118,'i',69,1628,2269
119,'a',61,26,667
120,'l',6c,1308,1949
121,' ',20,2590,347
122,'i',69,988,1629
123,'n',6e,2270,27
124,'c',63,668,1309
125,'e',65,1950,2591
126,'n',6e,348,989
127,'t',74,1630,2271
128,'i',69,28,669
129,'v',76,1310,1951
130,'e',65,2592,349
131,' ',20,990,1631
132,'h',68,2272,29
133,'e',65,670,1311
134,'r',72,1952,2593
135,'e',65,350,991
136,'.',2e,1632,2273
137,' ',20,30,671
138,' ',20,1312,1953
139,'t',74,2594,351
140,'h',68,992,1633
141,'e',65,2274,31
142,' ',20,672,1313
143,'p',70,1954,2595
144,'u',75,352,993
145,'r',72,1634,2275
146,'p',70,32,673
147,'o',6f,1314,1955
148,'s',73,2596,353
149,'e',65,994,1635
150,' ',20,2276,33
151,'i',69,674,1315
152,'s',73,1956,2597
153,' ',20,354,995
154,'s',73,1636,2277
155,'u',75,34,675
156,'c',63,1316,1957
157,'c',63,2598,355
158,'e',65,996,1637
159,'s',73,2278,35
160,'s',73,676,1317
161,' ',20,1958,2599
162,'o',6f,356,997
163,'f',66,1638,2279
164,' ',20,36,677
